[2026-03-24 21:58:33] [INFO    ] discord.client: logging in using static token
[2026-03-24 21:58:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'dndapp', 'primary_guild': None, 'mfa_enabled': False, 'id': '1485841393833480262', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6134', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '21237502b13b181f026ba1878992d0af', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1485845528175706276'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'us-east', 'newark', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1485841393833480262', 'flags_new': '8953856', 'flags': 8953856}, '_trace': ['["gateway-prd-arm-us-east1-c-b0x3",{"micros":140154,"calls":["id_created",{"micros":2144,"calls":[]},"session_lookup_time",{"micros":866,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"sessions-prd-gcp-us-east1-c-93",{"micros":136794,"calls":["start_session",{"micros":93996,"calls":["discord-api-rpc-6469bf6cfc-mssp9",{"micros":24467,"calls":["get_user",{"micros":5127},"get_guilds",{"micros":2948},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":719},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":1077},"apex_experiments",{"micros":57840},"sessions_experiments",{"micros":5},"played_application_ids",{"micros":10},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":58,"calls":[]},"presence_started",{"micros":380,"calls":[]},"guilds_started",{"micros":75,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":42245,"calls":[]},"connect_finished",{"micros":42260,"calls":[]},"build_ready",{"micros":19,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-03-24 21:58:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-24 21:58:34] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 21237502b13b181f026ba1878992d0af).
[2026-03-24 21:58:34] [DEBUG   ] discord.client: Dispatching event connect
[2026-03-24 21:58:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'icon': None, 'rules_channel_id': None, 'game_application_ids': None, 'large': False, 'splash': None, 'inventory_settings': None, 'lazy': True, 'joined_at': '2026-03-24T03:39:51.987000+00:00', 'profile': None, 'voice_states': [], 'premium_tier': 0, 'stage_instances': [], 'verification_level': 0, 'premium_progress_bar_enabled': False, 'member_count': 2, 'id': '1485845528175706276', 'public_updates_channel_id': None, 'name': "Tommy Gill's server", 'nsfw_level': 0, 'emojis': [], 'moderator_reporting': None, 'stickers': [], 'premium_subscription_count': 0, 'threads': [], 'soundboard_sounds': [], 'home_header': None, 'region': 'deprecated', 'owner_configured_content_level': 0, 'description': None, 'roles': [{'version': 1774323579866, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1485845528175706276', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1774364064622, 'unicode_emoji': None, 'tags': {'bot_id': '1485841393833480262'}, 'position': 3, 'permissions': '269486080', 'name': 'dndapp', 'mentionable': False, 'managed': True, 'id': '1485845579723702305', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1774364064614, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'DM', 'mentionable': False, 'managed': False, 'id': '1486015250322030763', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1774364064757, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Player', 'mentionable': False, 'managed': False, 'id': '1486015289400234104', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'hub_type': None, 'discovery_splash': None, 'premium_progress_bar_enabled_user_updated_at': None, 'premium_features': None, 'explicit_content_filter': 0, 'max_members': 25000000, 'system_channel_flags': 0, 'mfa_level': 0, 'guild_scheduled_events': [], 'system_channel_id': '1485845529375015014', 'members': [{'user': {'username': 'dndapp', 'public_flags': 0, 'primary_guild': None, 'id': '1485841393833480262', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6134', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1485845579723702305'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T03:39:51.987000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_id': None, 'latest_onboarding_question_id': None, 'afk_channel_id': None, 'presences': [], 'owner_id': '592492112357097473', 'channels': [{'version': 1774323579886, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1485845529375015012', 'flags': 0}, {'version': 1774323579889, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1485845529375015013', 'flags': 0}, {'version': 1774323579897, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1485845529375015012', 'name': 'general', 'last_message_id': '1486182336444760315', 'id': '1485845529375015014', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1774323579915, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1485845529375015013', 'name': 'General', 'last_message_id': None, 'id': '1485845529375015015', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1774400349337, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1485845529375015012', 'nsfw': False, 'name': 'test', 'last_message_id': None, 'id': '1486167523815854151', 'flags': 0}], 'safety_alerts_channel_id': None, 'embedded_activities': [], 'unavailable': False, 'vanity_url_code': None, 'preferred_locale': 'en-US', 'version': 1774364036306, 'nsfw': False, 'banner': None, 'incidents_data': None, 'features': [], 'application_command_counts': {}, 'max_video_channel_users': 25, 'activity_instances': [], 'default_message_notifications': 0, 'max_stage_video_channel_users': 50, 'afk_timeout': 300}}
[2026-03-24 21:58:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-24 21:58:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '8800b3cc1a2d8ecb214112bdd2e6b477', 'members': [{'user': {'username': 'tomot_23', 'public_flags': 0, 'primary_guild': None, 'id': '592492112357097473', 'global_name': 'Tommy Gill', 'display_name_styles': None, 'display_name': 'Tommy Gill', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '3fdd0a161a32314aebda8bfcc7f0979a'}, 'roles': ['1486015289400234104', '1486015250322030763'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T03:39:39.661000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'dndapp', 'public_flags': 0, 'primary_guild': None, 'id': '1485841393833480262', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6134', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1485845579723702305'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T03:39:51.987000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1485845528175706276', 'chunk_index': 0, 'chunk_count': 1}}
[2026-03-24 21:58:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-24 21:58:34] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1485845528175706276.
[2026-03-24 21:58:36] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-03-24 21:58:36] [DEBUG   ] discord.client: Dispatching event ready
[2026-03-24 21:58:37] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1485841393833480262/commands with [{"name":"setdm","description":"Give yourself the DM role","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"setplayer","description":"Give yourself the Player role","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"releasedm","description":"Release yourself of the DM role","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"releaseplayer","description":"Release yourself of the Player role","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"roll","description":"Roll some dice!","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"setinitiative","description":"Set initiative","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"updateinitiative","description":"Update initiative","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"initiative","description":"Display initiative","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"uploadsheet","description":"Upload a character sheets","type":1,"options":[{"type":11,"name":"sheet","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"abilitycheck","description":"Set an ability check","type":1,"options":[{"type":6,"name":"player","description":"\u2026","required":true},{"type":3,"name":"ability","description":"\u2026","required":true,"choices":[{"name":"Acrobatics","value":"Acrobatics"},{"name":"Animal Handling","value":"Animal Handling"},{"name":"Arcana","value":"Arcana"},{"name":"Athletics","value":"Athletics"},{"name":"Deception","value":"Deception"},{"name":"History","value":"History"},{"name":"Insight","value":"Insight"},{"name":"Intimidation","value":"Intimidation"},{"name":"Investigation","value":"Investigation"},{"name":"Medicine","value":"Medicine"},{"name":"Nature","value":"Nature"},{"name":"Perception","value":"Perception"},{"name":"Performance","value":"Performance"},{"name":"Persuasion","value":"Persuasion"},{"name":"Religion","value":"Religion"},{"name":"Sleight of Hand","value":"Sleight of Hand"},{"name":"Stealth","value":"Stealth"},{"name":"Survival","value":"Survival"},{"name":"STR","value":"STR"},{"name":"DEX","value":"DEX"},{"name":"CON","value":"CON"},{"name":"INT","value":"INT"},{"name":"WIS","value":"WIS"},{"name":"CHA","value":"CHA"}]},{"type":4,"name":"dc","description":"\u2026","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"skillmod","description":"Get a stat from your character sheet","type":1,"options":[{"type":3,"name":"ability","description":"\u2026","required":true,"choices":[{"name":"Acrobatics","value":"Acrobatics"},{"name":"Animal Handling","value":"Animal Handling"},{"name":"Arcana","value":"Arcana"},{"name":"Athletics","value":"Athletics"},{"name":"Deception","value":"Deception"},{"name":"History","value":"History"},{"name":"Insight","value":"Insight"},{"name":"Intimidation","value":"Intimidation"},{"name":"Investigation","value":"Investigation"},{"name":"Medicine","value":"Medicine"},{"name":"Nature","value":"Nature"},{"name":"Perception","value":"Perception"},{"name":"Performance","value":"Performance"},{"name":"Persuasion","value":"Persuasion"},{"name":"Religion","value":"Religion"},{"name":"Sleight of Hand","value":"Sleight of Hand"},{"name":"Stealth","value":"Stealth"},{"name":"Survival","value":"Survival"}]}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"battlestats","description":"Get all the stats you need for battle","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"damage","description":"You got hurt!","type":1,"options":[{"type":4,"name":"hitpoints","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"heal","description":"Recover some health","type":1,"options":[{"type":4,"name":"hitpoints","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"inventory","description":"Check your inventory","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"spells","description":"Check your spells","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-03-24 21:58:37] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-03-24 21:58:37] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1485841393833480262/commands has received [{'id': '1485844196739780700', 'application_id': '1485841393833480262', 'version': '1485844196739780707', 'default_member_permissions': None, 'type': 1, 'name': 'setdm', 'name_localizations': None, 'description': 'Give yourself the DM role', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1485844196739780701', 'application_id': '1485841393833480262', 'version': '1485844196739780708', 'default_member_permissions': None, 'type': 1, 'name': 'setplayer', 'name_localizations': None, 'description': 'Give yourself the Player role', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1485844196739780702', 'application_id': '1485841393833480262', 'version': '1485844197163663470', 'default_member_permissions': None, 'type': 1, 'name': 'releasedm', 'name_localizations': None, 'description': 'Release yourself of the DM role', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1485844196739780703', 'application_id': '1485841393833480262', 'version': '1485844197163663471', 'default_member_permissions': None, 'type': 1, 'name': 'releaseplayer', 'name_localizations': None, 'description': 'Release yourself of the Player role', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1486022760550371581', 'application_id': '1485841393833480262', 'version': '1486022760550371582', 'default_member_permissions': None, 'type': 1, 'name': 'roll', 'name_localizations': None, 'description': 'Roll some dice!', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1485981536171065406', 'application_id': '1485841393833480262', 'version': '1485983195324485784', 'default_member_permissions': None, 'type': 1, 'name': 'setinitiative', 'name_localizations': None, 'description': 'Set initiative', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1485981536171065407', 'application_id': '1485841393833480262', 'version': '1485981536171065410', 'default_member_permissions': None, 'type': 1, 'name': 'updateinitiative', 'name_localizations': None, 'description': 'Update initiative', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1485981536171065408', 'application_id': '1485841393833480262', 'version': '1485981536171065411', 'default_member_permissions': None, 'type': 1, 'name': 'initiative', 'name_localizations': None, 'description': 'Display initiative', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1485980740733767741', 'application_id': '1485841393833480262', 'version': '1486163276587864125', 'default_member_permissions': None, 'type': 1, 'name': 'uploadsheet', 'name_localizations': None, 'description': 'Upload a character sheets', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 11, 'name': 'sheet', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1485983195324485782', 'application_id': '1485841393833480262', 'version': '1486021624384983112', 'default_member_permissions': None, 'type': 1, 'name': 'abilitycheck', 'name_localizations': None, 'description': 'Set an ability check', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 6, 'name': 'player', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'ability', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Acrobatics', 'name_localizations': None, 'value': 'Acrobatics'}, {'name': 'Animal Handling', 'name_localizations': None, 'value': 'Animal Handling'}, {'name': 'Arcana', 'name_localizations': None, 'value': 'Arcana'}, {'name': 'Athletics', 'name_localizations': None, 'value': 'Athletics'}, {'name': 'Deception', 'name_localizations': None, 'value': 'Deception'}, {'name': 'History', 'name_localizations': None, 'value': 'History'}, {'name': 'Insight', 'name_localizations': None, 'value': 'Insight'}, {'name': 'Intimidation', 'name_localizations': None, 'value': 'Intimidation'}, {'name': 'Investigation', 'name_localizations': None, 'value': 'Investigation'}, {'name': 'Medicine', 'name_localizations': None, 'value': 'Medicine'}, {'name': 'Nature', 'name_localizations': None, 'value': 'Nature'}, {'name': 'Perception', 'name_localizations': None, 'value': 'Perception'}, {'name': 'Performance', 'name_localizations': None, 'value': 'Performance'}, {'name': 'Persuasion', 'name_localizations': None, 'value': 'Persuasion'}, {'name': 'Religion', 'name_localizations': None, 'value': 'Religion'}, {'name': 'Sleight of Hand', 'name_localizations': None, 'value': 'Sleight of Hand'}, {'name': 'Stealth', 'name_localizations': None, 'value': 'Stealth'}, {'name': 'Survival', 'name_localizations': None, 'value': 'Survival'}, {'name': 'STR', 'name_localizations': None, 'value': 'STR'}, {'name': 'DEX', 'name_localizations': None, 'value': 'DEX'}, {'name': 'CON', 'name_localizations': None, 'value': 'CON'}, {'name': 'INT', 'name_localizations': None, 'value': 'INT'}, {'name': 'WIS', 'name_localizations': None, 'value': 'WIS'}, {'name': 'CHA', 'name_localizations': None, 'value': 'CHA'}]}, {'type': 4, 'name': 'dc', 'name_localizations': None, 'description': '…', 'description_localizations': None}], 'nsfw': False}, {'id': '1486164821434175569', 'application_id': '1485841393833480262', 'version': '1486164821434175572', 'default_member_permissions': None, 'type': 1, 'name': 'skillmod', 'name_localizations': None, 'description': 'Get a stat from your character sheet', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'ability', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Acrobatics', 'name_localizations': None, 'value': 'Acrobatics'}, {'name': 'Animal Handling', 'name_localizations': None, 'value': 'Animal Handling'}, {'name': 'Arcana', 'name_localizations': None, 'value': 'Arcana'}, {'name': 'Athletics', 'name_localizations': None, 'value': 'Athletics'}, {'name': 'Deception', 'name_localizations': None, 'value': 'Deception'}, {'name': 'History', 'name_localizations': None, 'value': 'History'}, {'name': 'Insight', 'name_localizations': None, 'value': 'Insight'}, {'name': 'Intimidation', 'name_localizations': None, 'value': 'Intimidation'}, {'name': 'Investigation', 'name_localizations': None, 'value': 'Investigation'}, {'name': 'Medicine', 'name_localizations': None, 'value': 'Medicine'}, {'name': 'Nature', 'name_localizations': None, 'value': 'Nature'}, {'name': 'Perception', 'name_localizations': None, 'value': 'Perception'}, {'name': 'Performance', 'name_localizations': None, 'value': 'Performance'}, {'name': 'Persuasion', 'name_localizations': None, 'value': 'Persuasion'}, {'name': 'Religion', 'name_localizations': None, 'value': 'Religion'}, {'name': 'Sleight of Hand', 'name_localizations': None, 'value': 'Sleight of Hand'}, {'name': 'Stealth', 'name_localizations': None, 'value': 'Stealth'}, {'name': 'Survival', 'name_localizations': None, 'value': 'Survival'}]}], 'nsfw': False}, {'id': '1486164821434175570', 'application_id': '1485841393833480262', 'version': '1486164821434175573', 'default_member_permissions': None, 'type': 1, 'name': 'battlestats', 'name_localizations': None, 'description': 'Get all the stats you need for battle', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1486164821434175571', 'application_id': '1485841393833480262', 'version': '1486164821434175574', 'default_member_permissions': None, 'type': 1, 'name': 'damage', 'name_localizations': None, 'description': 'You got hurt!', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 4, 'name': 'hitpoints', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1486166809680941106', 'application_id': '1485841393833480262', 'version': '1486166809680941108', 'default_member_permissions': None, 'type': 1, 'name': 'heal', 'name_localizations': None, 'description': 'Recover some health', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 4, 'name': 'hitpoints', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1486168137203191869', 'application_id': '1485841393833480262', 'version': '1486168137203191871', 'default_member_permissions': None, 'type': 1, 'name': 'inventory', 'name_localizations': None, 'description': 'Check your inventory', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1486168137203191870', 'application_id': '1485841393833480262', 'version': '1486168137203191872', 'default_member_permissions': None, 'type': 1, 'name': 'spells', 'name_localizations': None, 'description': 'Check your spells', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}]
